actors,awards,country,director,genre,imdbID,imdbRating,imdbVotes,language,metascore,plot,poster,rated,released,runtime,title,type,writer,year
"Joshua Jackson, Paul Walker, Hill Harper, Leslie Bibb",1 nomination.,"USA, Canada",Rob Cohen,"Action, Crime, Drama",tt0192614,5.6,"27,136",English,24,"Luke McNamara, a college senior from a working class background joins a secret elitist college fraternity organization called &quot;The Skulls&quot;, in hope of gaining acceptance into Harvard Law School. At first seduced by the club's trapping of power and wealth, a series of disturbing incidents, such as his best friends suicide, leads Luke to investigate the true nature of the organization and the truth behind his friends supposed suicide. He starts realizing that his future and possibly his life is in danger.",https://images-na.ssl-images-amazon.com/images/M/MV5BODAzNDc5NDM0OF5BMl5BanBnXkFtZTcwMDA3MzgxMQ@@._V1_SX300.jpg,PG-13,31 Mar 2000,106 min,The Skulls,movie,John Pogue,2000
"Eddie Redmayne, Felicity Jones, Tom Prior, Sophie Perry",Won 1 Oscar. Another 24 wins & 118 nominations.,UK,James Marsh,"Biography, Drama, Romance",tt2980516,7.7,"275,563","English, French, Latin, Italian",72,A look at the relationship between the famous physicist Stephen Hawking and his wife.,https://images-na.ssl-images-amazon.com/images/M/MV5BMTAwMTU4MDA3NDNeQTJeQWpwZ15BbWU4MDk4NTMxNTIx._V1_SX300.jpg,PG-13,26 Nov 2014,123 min,The Theory of Everything,movie,"Anthony McCarten (screenplay), Jane Hawking (book)",2014
"Jamie Kennedy, Taye Diggs, Anthony Anderson, Regina Hall",3 nominations.,USA,John Whitesell,"Comedy, Crime",tt0328099,5.1,"16,076",English,43,"A senator arranges for his son, a rich white kid who fancies himself black, to be kidnapped by a couple of black actors pretending to be murderers to try and shock him out of his plans to become a rapper.",https://images-na.ssl-images-amazon.com/images/M/MV5BODM3NzE0NTMxOF5BMl5BanBnXkFtZTYwMTIzNTk5._V1_SX300.jpg,PG-13,18 Apr 2003,86 min,Malibu's Most Wanted,movie,"Fax Bahr, Adam Small, Jamie Kennedy, Nick Swardson",2003
"Natalie Portman, Ashley Judd, Stockard Channing, Joan Cusack",1 win & 2 nominations.,USA,Matt Williams,"Comedy, Drama, Romance",tt0198021,6.8,"27,208",English,30,"Novalee Nation is a pregnant 17-year-old from Tennessee heading to California with her boyfriend Willie Jack, but is abandoned by him at a Wal-Mart store in Sequoyah, Oklahoma. Novalee has no job, no skills and only $5.55 in her pocket, so she secretly lives in the Wal-Mart until her daughter Americus is born six weeks later. Novalee decides to raise her daughter and rebuild her life in Sequoyah, with the help of eccentric but kind strangers. Based on the best-selling novel by Billie Letts.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg4NTIzNjIwNl5BMl5BanBnXkFtZTcwODY2MTU1MQ@@._V1_SX300.jpg,PG-13,28 Apr 2000,120 min,Where the Heart Is,movie,"Lowell Ganz (screenplay), Babaloo Mandel (screenplay), Billie Letts (novel)",2000
"Peter O'Toole, Alec Guinness, Anthony Quinn, Jack Hawkins",Won 7 Oscars. Another 23 wins & 14 nominations.,"UK, USA",David Lean,"Adventure, Biography, Drama",tt0056172,8.4,"197,162","English, Arabic, Turkish",100,"The story of T.E. Lawrence, the English officer who successfully united and lead the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",https://images-na.ssl-images-amazon.com/images/M/MV5BYWY5ZjhjNGYtZmI2Ny00ODM0LWFkNzgtZmI1YzA2N2MxMzA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,PG,11 Dec 1962,216 min,Lawrence of Arabia,movie,"T.E. Lawrence (writings), Robert Bolt (screenplay), Michael Wilson (screenplay)",1962
"Jamie Lee Curtis, Donald Pleasence, Charles Cyphers, Jeffrey Kramer",3 nominations.,USA,Rick Rosenthal,Horror,tt0082495,6.5,"51,984",English,40,"In a continuation of the plot of Halloween, Michael Myers shows off his indestructability by resuming his murder spree despite being gunned down with six bullets in the original movie. Laurie Strode is once more his intended victim, with Dr. Sam Loomis again in hot persuit.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjZmYjg0ODctOTIyYy00YzhkLTgyMzEtNjUyY2JiZjVmYzI2XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,R,30 Oct 1981,92 min,Halloween II,movie,"John Carpenter, Debra Hill",1981
"Reese Witherspoon, Laura Dern, Thomas Sadoski, Keene McRae",Nominated for 2 Oscars. Another 10 wins & 61 nominations.,USA,Jean-Marc Vallée,"Adventure, Biography, Drama",tt2305051,7.1,"89,569",English,76,"A chronicle of one woman's 1,100-mile solo hike undertaken as a way to recover from a recent personal tragedy.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTczNzI2MDc1Ml5BMl5BanBnXkFtZTgwOTU5NTYxMjE@._V1_SX300.jpg,R,19 Dec 2014,115 min,Wild,movie,"Nick Hornby (screenplay), Cheryl Strayed (memoir &quot;Wild: From Lost to Found on the Pacific Crest Trail&quot;)",2014
"Garret Dillahunt, Michael Bowen, Josh Coxx, Riki Lindhome",1 win & 8 nominations.,USA,Dennis Iliadis,"Crime, Horror, Thriller",tt0844708,6.6,"69,266",English,42,"While being transported by two detectives in a car, the dangerous criminal Krug is rescued by his brother Francis and his girlfriend Sadie, and they brutally kill the detectives. Meanwhile Emma, her husband John, and their daughter Mari Collingwood head on vacation to their summer home near the lake. Mari borrows the family car to meet her friend Paige that is working in a store in the town. They befriend the teenager Justin in the store and he offers some marijuana to Paige in the motel where he is lodged. While they are smoking marijuana in Justin's room, Krug, Francis, and Sadie arrive and abduct the girls. Krug drives Mari's car and she causes them to crash into a tree. Krug stabs Paige and rapes Mari; however Mari manages to escape, swimming in the lake, but Krug shoots her in the back. They walk through the isolated road in the woods and they reach Collingwood's house telling that they have just had a car accident. Emma and John welcome the strangers until they discover what has happened to their beloved daughter.",https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMTM4MDAwOF5BMl5BanBnXkFtZTcwODcyMDIzMg@@._V1_SX300.jpg,R,13 Mar 2009,110 min,The Last House on the Left,movie,"Adam Alleca (screenplay), Carl Ellsworth (screenplay), Wes Craven (earlier film)",2009
"Debra Messing, Dermot Mulroney, Amy Adams, Jack Davenport",N/A,USA,Clare Kilner,"Comedy, Romance",tt0372532,6.1,"39,080",English,32,"&quot;The Wedding Date&quot; centers around Kat Ellis (Messing), who returns to her parents' London home for her sister's wedding. Afraid of confronting her ex-fiancé, who dumped her two years before, she hires a top-drawer male escort (Mulroney) to pose as her new boyfriend.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2NzQ0MDYyOF5BMl5BanBnXkFtZTcwMzA4NzcyMQ@@._V1_SX300.jpg,PG-13,04 Feb 2005,90 min,The Wedding Date,movie,"Elizabeth Young (book), Dana Fox (screenplay)",2005
"Jamie Lee Curtis, Brad Loree, Busta Rhymes, Bianca Kajlich",1 nomination.,USA,Rick Rosenthal,"Comedy, Horror, Thriller",tt0220506,4.1,"27,319",English,19,"Serial Killer Michael Myers is not finished with Laurie Strode, and their rivalry finally comes to an end. But is this the last we see of Myers? Freddie Harris and Nora Winston are reality programmers at DangerTainment, and are planning to send a group of 6 thrill-seeking teenagers into the childhood home of Myers. Cameras are placed all over the house and no one can get out of the house... and then Michael arrives home!",https://images-na.ssl-images-amazon.com/images/M/MV5BODczZDMxNTMtZDIxOC00YWEzLWJkMmEtZjczNGUwZDA2NTNhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,R,12 Jul 2002,94 min,Halloween: Resurrection,movie,"Debra Hill (characters), John Carpenter (characters), Larry Brand (story), Larry Brand (screenplay), Sean Hood (screenplay)",2002
"Sam Worthington, Liam Neeson, Ralph Fiennes, Jason Flemyng",4 wins & 12 nominations.,USA,Louis Leterrier,"Action, Adventure, Fantasy",tt0800320,5.8,"232,323",English,39,"Princess Andromeda is the daughter of King Cepheus, who has gained a victory against the gods. The vengeful god of the underworld, Hades, demands that Andromeda is offered as a sacrifice or he will unleash the Kraken against Argos. A desperate King Cepheus asks demi-god Perseus to find a way to defeat the Kraken. Perseus accepts the challenge because Hades was responsible for his family's death. He discovers that the way to kill the Kraken lies with getting the head of the gorgon Medusa.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTYxNjg4MzU5OV5BMl5BanBnXkFtZTcwOTA3NTUwMw@@._V1_SX300.jpg,PG-13,02 Apr 2010,106 min,Clash of the Titans,movie,"Travis Beacham (screenplay), Phil Hay (screenplay), Matt Manfredi (screenplay), Beverley Cross",2010
"Cary Elwes, Mandy Patinkin, Chris Sarandon, Christopher Guest",Nominated for 1 Oscar. Another 6 wins & 8 nominations.,USA,Rob Reiner,"Adventure, Family, Fantasy",tt0093779,8.1,"300,875",English,77,"An elderly man reads the book &quot;The Princess Bride&quot; to his sick and thus currently bedridden adolescent grandson, the reading of the book which has been passed down within the family for generations. The grandson is sure he won't like the story, with a romance at its core, he preferring something with lots of action and &quot;no kissing&quot;. But the grandson is powerless to stop his grandfather, whose feelings he doesn't want to hurt. The story centers on Buttercup, a former farm girl who has been chosen as the princess bride to Prince Humperdinck of Florian. Buttercup does not love him, she who still laments the death of her one true love, Westley, five years ago. Westley was a hired hand on the farm, his stock answer of &quot;as you wish&quot; to any request she made of him which she came to understand was his way of saying that he loved her. But Westley went away to sea, only to be killed by the Dread Pirate Roberts. On a horse ride to clear her mind of her upcoming predicament of marriage, Buttercup is kidnapped by a band of bandits: Vizzini who works on his wits, and his two associates, a giant named Fezzik who works on his brawn, and a Spaniard named Inigo Montoya, who has trained himself his entire life to be an expert swordsman. They in turn are chased by the Dread Pirate Roberts himself. But chasing them all is the Prince, and his men led by Count Tyrone Rugen. What happens to these collectives is dependent partly on Buttercup, who does not want to marry the Prince, and may see other options as lesser evils, and partly on the other motives of individuals within the groups. But a larger question is what the grandson will think of the story as it proceeds and at its end, especially as he sees justice as high a priority as action.",https://images-na.ssl-images-amazon.com/images/M/MV5BMGM4M2Q5N2MtNThkZS00NTc1LTk1NTItNWEyZjJjNDRmNDk5XkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_SX300.jpg,PG,09 Oct 1987,98 min,The Princess Bride,movie,"William Goldman (book), William Goldman (screenplay)",1987
"Denzel Washington, Nate Parker, Jurnee Smollett-Bell, Denzel Whitaker",Nominated for 1 Golden Globe. Another 11 wins & 9 nominations.,USA,Denzel Washington,"Biography, Drama, Romance",tt0427309,7.6,"48,360",English,65,"Marshall, Texas, described by James Farmer, Jr. as &quot;the last city to surrender after the Civil War,&quot; is home to Wiley College, where, in 1935-36, inspired by the Harlem Renaissance and his clandestine work as a union organizer, Professor Melvin Tolson coaches the debate team to a nearly-undefeated season that sees the first debate between U.S. students from white and Negro colleges and ends with an invitation to face Harvard University's national champions. The team of four, which includes a female student and a very young James Farmer, is tested in a crucible heated by Jim Crow, sexism, a lynch mob, an arrest and near riot, a love affair, jealousy, and a national radio audience.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxMDc1NzkwMF5BMl5BanBnXkFtZTcwMDI5MjU1MQ@@._V1_SX300.jpg,PG-13,25 Dec 2007,126 min,The Great Debaters,movie,"Robert Eisele (screenplay), Robert Eisele (story), Jeffrey Porro (story), Tony Scherman (inspired by the American Legacy article)",2007
"Ryan Gosling, Carey Mulligan, Bryan Cranston, Albert Brooks",Nominated for 1 Oscar. Another 74 wins & 162 nominations.,USA,Nicolas Winding Refn,"Crime, Drama",tt0780504,7.8,"440,974","English, Spanish",78,"A mysterious man who has multiple jobs as a garage mechanic, a Hollywood stuntman and a getaway driver seems to be trying to escape his shady past as he falls for his neighbor - whose husband is in prison and who's looking after her child alone. Meanwhile, his garage mechanic boss is trying to set up a race team using gangland money, which implicates our driver as he is to be used as the race team's main driver. Our hero gets more than he bargained for when he meets the man who is married to the woman he loves.",https://images-na.ssl-images-amazon.com/images/M/MV5BZjY5ZjQyMjMtMmEwOC00Nzc2LTllYTItMmU2MzJjNTg1NjY0XkEyXkFqcGdeQXVyNjQ1MTMzMDQ@._V1_SX300.jpg,R,16 Sep 2011,100 min,Drive,movie,"Hossein Amini (screenplay), James Sallis (book)",2011
"Lindsay Lohan, Adam Garcia, Glenne Headly, Alison Pill",1 win.,"Germany, USA",Sara Sugarman,"Comedy, Family, Music",tt0361467,4.6,"23,668",English,33,"A teenage girl is convinced that her home city revolves around her until her family packs up and moves to the suburbs, where she finds herself competing for attention.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTIzMDE0MDQ5Ml5BMl5BanBnXkFtZTcwNTUwMDUyMQ@@._V1_SX300.jpg,PG,20 Feb 2004,89 min,Confessions of a Teenage Drama Queen,movie,"Dyan Sheldon (book), Gail Parent (screenplay)",2004
"Paul Rudd, Kali Rocha, Jennifer Aniston, Lena Cardwell",1 win & 1 nomination.,USA,Nicholas Hytner,"Comedy, Drama, Romance",tt0120772,6.0,"15,771",English,51,"A pregnant New York social worker begins to develop romantic feelings for her gay best friend, and decides she'd rather raise her child with him, much to the dismay of her overbearing boyfriend.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTAyODU0NDg5ODdeQTJeQWpwZ15BbWU3MDk3MDA1NTE@._V1_SX300.jpg,R,17 Apr 1998,111 min,The Object of My Affection,movie,"Stephen McCauley (novel), Wendy Wasserstein (screenplay)",1998
"Robert Carlyle, Rose Byrne, Jeremy Renner, Harold Perrineau",2 wins & 12 nominations.,"UK, Spain",Juan Carlos Fresnadillo,"Drama, Horror, Sci-Fi",tt0463854,7.0,"215,559",English,78,"Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes to plan.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMjc2MTcxNV5BMl5BanBnXkFtZTcwMzgzOTY0MQ@@._V1_SX300.jpg,R,11 May 2007,100 min,28 Weeks Later,movie,"Rowan Joffe (screenplay), Juan Carlos Fresnadillo (screenplay), Enrique López Lavigne (screenplay), Jesús Olmo (screenplay)",2007
"Jim Caviezel, Michael Chiklis, Alexander Ludwig, Clancy Brown",N/A,USA,Thomas Carter,"Drama, Family, Sport",tt2247476,6.7,"12,915",English,41,"The journey of legendary football coach Bob Ladouceur, who took the De La Salle High School Spartans from obscurity to a 151-game winning streak that shattered all records for any American sport.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5NDMzOTI3MV5BMl5BanBnXkFtZTgwMjU4MTMyMjE@._V1_SX300.jpg,PG,22 Aug 2014,115 min,When the Game Stands Tall,movie,"Scott Marshall Smith (screenplay), Scott Marshall Smith (story), David Zelon (story), Neil Hayes (book)",2014
"AnnaSophia Robb, Jeff Daniels, Cicely Tyson, Dave Matthews",2 nominations.,USA,Wayne Wang,"Comedy, Drama, Family",tt0317132,6.4,"8,551",English,54,"A 10-year-old girl, abandoned by her mother when she was three, moves to a small town in Florida with her father, a preacher. While there, she adopts a stray dog whom she names after the local supermarket where he was found. With her goofy pooch by her side, she meets an eclectic group of townspeople and rekindles an almost lost relationship with her father.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTA3NDYzNDE0MjBeQTJeQWpwZ15BbWU3MDc3NjA3MzM@._V1_SX300.jpg,PG,18 Feb 2005,106 min,Because of Winn-Dixie,movie,"Kate DiCamillo (novel), Joan Singleton (screenplay)",2005
"Glenndon Chatman, Jess Willard, Chris Warren, Kyla Pratt",12 wins & 15 nominations.,USA,Gina Prince-Bythewood,"Drama, Romance, Sport",tt0199725,7.2,"14,619","English, Spanish",70,"In 1981 in L.A., Monica moves in next door to Quincy. They're 11, and both want to play in the NBA, just like Quincy's dad. Their love-hate relationship lasts into high school, with Monica's edge and Quincy's top-dog attitude separating them, except when Quincy's parents argue and he climbs through Monica's window to sleep on the floor. As high school ends, they come together as a couple, but within a year, with both of them playing ball at USC, Quincy's relationship with his father takes an ugly turn, and it leads to a break up with Monica. Some years later, their pro careers at a crossroads, they meet again. It's time for a final game of one-on-one with high stakes.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTU4NjY4NTI5MF5BMl5BanBnXkFtZTYwNjQ4OTc3._V1_SX300.jpg,PG-13,21 Apr 2000,124 min,Love & Basketball,movie,Gina Prince-Bythewood,2000
"John Cusack, Minnie Driver, Alan Arkin, Dan Aykroyd",2 wins & 6 nominations.,USA,George Armitage,"Action, Comedy, Crime",tt0119229,7.4,"74,160",English,76,"Martin Blank is a freelance hitman who starts to develop a conscience, which causes him to muff a couple of routine assignments. On the advice of his secretary and his psychiatrist, he attends his 10th year High School reunion in Grosse Pointe, Michigan (a Detroit suburb where he's also contracted to kill someone). Hot on his tail are a couple of over-enthusiastic federal agents, another assassin who wants to kill him, and Grocer, an assassin who wants him to join an &quot;Assassin's Union.&quot;",https://images-na.ssl-images-amazon.com/images/M/MV5BYzAwOWUzMGMtMThjMS00YTZiLTgzZTUtZmQ5NDdkN2RlMTE4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,R,11 Apr 1997,107 min,Grosse Pointe Blank,movie,"Tom Jankiewicz (story), Tom Jankiewicz (screenplay), D.V. DeVincentis (screenplay), Steve Pink (screenplay), John Cusack (screenplay)",1997
"Sandra Bullock, Thomas Haden Church, Bradley Cooper, Ken Jeong",2 wins & 3 nominations.,USA,Phil Traill,"Comedy, Romance",tt0881891,4.8,"33,417","English, Spanish",17,"Mary Horowitz writes crossword puzzles for the Sacramento Herald. She's loquacious to a fault. When kids at a career day make fun of her for being single, she accepts a blind date with Steve, the cameraman for a CNN-like news network. Within minutes she decides he's the man for her. He's quickly put off by her constant verbiage and over-the-top advances; he makes an off-hand remark about going on the road with her, and splits. She's moonstruck, writes a sappy crossword puzzle, loses her job, and decides to follow him as the news team crisscrosses the Southwest; Steve's team eggs her on. Then she falls in a mine shaft, and she and Steve become a story; is it a love story?",https://images-na.ssl-images-amazon.com/images/M/MV5BMTA5MTQxOTE2OTReQTJeQWpwZ15BbWU3MDY5NzI4NzI@._V1_SX300.jpg,PG-13,04 Sep 2009,99 min,All About Steve,movie,Kim Barker,2009
"Kurt Loder, Chuck Scarborough, Bruce D. Reed, Jeffrey Donovan",2 wins & 5 nominations.,USA,Joe Berlinger,"Adventure, Fantasy, Horror",tt0229260,4.0,"30,089","English, German",15,"To cash in on all of the &quot;real world&quot; hype of the events in the first film, a man from Burkitsville, Maryland opens a &quot;Blair Witch Hunt&quot; tour, which shows patrons various locations from the original film. A bunch of college students decide to take the tour, and wind up in Rustin Parr's house. There, they decide to camp for the evening, but in the morning, they realize they didn't sleep and they don't remember anything that happened the previous night. From there, they go back to town, and discover that something...or someone has come with them.",https://images-na.ssl-images-amazon.com/images/M/MV5BY2YzNzg1YTAtMjU4MC00OWU5LWFiNjAtZmI0Zjc5MmM4YzcxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,R,27 Oct 2000,90 min,Book of Shadows: Blair Witch 2,movie,"Daniel Myrick (characters), Eduardo Sánchez (characters), Dick Beebe, Joe Berlinger",2000
"Robin Tunney, Fairuza Balk, Neve Campbell, Rachel True",1 win & 2 nominations.,USA,Andrew Fleming,"Drama, Fantasy, Horror",tt0115963,6.3,"58,211","English, French",N/A,"A new girl moves to a new city with her family to start a new life. She meets up with the girls who are very interested in the occult and together, the four of them have a seemingly unstopable power. They can do anything, from getting thier dream guys to like them to... the possibilities are limitless.",https://images-na.ssl-images-amazon.com/images/M/MV5BMTY4MjQ2MzU1OV5BMl5BanBnXkFtZTgwNTM2Mjc3ODE@._V1_SX300.jpg,R,03 May 1996,101 min,The Craft,movie,"Peter Filardi (story), Peter Filardi (screenplay), Andrew Fleming (screenplay)",1996
"Jonathan Rhys Meyers, Alexander Armstrong, Paul Kaye, Matthew Goode",Nominated for 1 Oscar. Another 11 wins & 28 nominations.,"UK, Russia, Ireland, Luxembourg, USA",Woody Allen,"Drama, Romance, Thriller",tt0416320,7.7,"169,454",English,72,N/A,https://images-na.ssl-images-amazon.com/images/M/MV5BMTMzNzY4MzE5NF5BMl5BanBnXkFtZTcwMzQ1MDMzMQ@@._V1_SX300.jpg,R,20 Jan 2006,119 min,Match Point,movie,Woody Allen,2005
